target 1,target 2,cond,soundfile,correct,dur
ball,call,cc-1,ball-cc-1.wav,ball,1.57
bark,park,cc-2,bark-cc-2.wav,park,1.882
base,case,ic-1,base-ic-1.wav,base,1.926
bass,gas,ic-2,bass-ic-2.wav,gas,1.864
bath,path,cc-1,bath-cc-1.wav,bath,1.971
bats,cats,cc-2,bats-cc-2.wav,cats,1.934
beach,peach,ic-1,beach-ic-1.wav,beach,1.913
bees,peas,ic-2,bees-ic-2.wav,peas,1.898
bins,pins,cc-1,bins-cc-1.wav,bins,1.894
birth,girth,cc-2,birth-cc-2.wav,girth,2.109
book,cook,ic-1,book-ic-1.wav,book,1.63
born,corn,ic-2,born-ic-2.wav,corn,1.717
bow,cow,cc-1,bow-cc-1.wav,bow,1.535
box,docks,cc-2,box-cc-2.wav,docks,1.853
brown,drown,ic-1,brown-ic-1.wav,brown,1.882
bugs,pugs,ic-2,bugs-ic-2.wav,pugs,1.768
buns,guns,cc-1,buns-cc-1.wav,buns,1.815
cap,gap,cc-2,cap-cc-2.wav,gap,1.761
car,bar,ic-1,car-ic-1.wav,car,1.706
coats,goats,ic-2,coats-ic-2.wav,goats,1.94
cone,bone,cc-1,cone-cc-1.wav,cone,1.677
core,door,cc-2,core-cc-2.wav,door,1.761
cot,pot,ic-1,cot-ic-1.wav,cot,1.557
crow,pro,ic-2,crow-ic-2.wav,pro,1.793
cub,tub,cc-1,cub-cc-1.wav,cub,1.629
dashed,cashed,cc-2,dashed-cc-2.wav,cashed,2.084
dripped,tripped,ic-1,dripped-ic-1.wav,dripped,1.885
drying,crying,ic-2,drying-ic-2.wav,crying,1.812
ducks,pucks,cc-1,ducks-cc-1.wav,ducks,1.854
dyed,tied,cc-2,dyed-cc-2.wav,tied,1.984
ghost,post,ic-1,ghost-ic-1.wav,ghost,1.9
goal,pole,ic-2,goal-ic-2.wav,pole,1.682
grim,prim,cc-1,grim-cc-1.wav,grim,1.879
grip,drip,cc-2,grip-cc-2.wav,drip,1.766
keg,peg,ic-1,keg-ic-1.wav,keg,1.557
pail,tail,ic-2,pail-ic-2.wav,tail,1.588
pan,can,cc-1,pan-cc-1.wav,pan,1.917
pane,cane,cc-2,pane-cc-2.wav,cane,1.884
papers,capers,ic-1,papers-ic-1.wav,papers,1.961
pay,day,ic-2,pay-ic-2.wav,day,1.788
peak,beak,cc-1,peak-cc-1.wav,peak,1.655
pear,bear,cc-2,pear-cc-2.wav,bear,1.568
pie,tie,ic-1,pie-ic-1.wav,pie,1.511
pills,bills,ic-2,pills-ic-2.wav,bills,2.012
pit,kit,cc-1,pit-cc-1.wav,pit,1.646
plank,blank,cc-2,plank-cc-2.wav,blank,1.679
play,clay,ic-1,play-ic-1.wav,play,1.781
tacks,backs,ic-2,tacks-ic-2.wav,backs,1.901
tag,bag,cc-1,tag-cc-1.wav,tag,1.603
tarts,carts,cc-2,tarts-cc-2.wav,carts,1.702
tasted,pasted,ic-1,tasted-ic-1.wav,tasted,2.075
tick,pick,ic-2,tick-ic-2.wav,pick,1.758
toes,bows,cc-1,toes-cc-1.wav,toes,1.883
ton,pun,cc-2,ton-cc-2.wav,pun,1.633
top,cop,ic-1,top-ic-1.wav,top,1.795
tricks,bricks,ic-2,tricks-ic-2.wav,bricks,1.865
ball,call,cc-2,ball-cc-2.wav,call,1.679
bark,park,ic-1,bark-ic-1.wav,bark,1.848
base,case,ic-2,base-ic-2.wav,case,1.843
bass,gas,cc-1,bass-cc-1.wav,bass,1.792
bath,path,cc-2,bath-cc-2.wav,path,1.685
bats,cats,ic-1,bats-ic-1.wav,bats,1.89
beach,peach,ic-2,beach-ic-2.wav,peach,1.742
bees,peas,cc-1,bees-cc-1.wav,bees,1.903
bins,pins,cc-2,bins-cc-2.wav,pins,2.039
birth,girth,ic-1,birth-ic-1.wav,birth,1.962
book,cook,ic-2,book-ic-2.wav,cook,1.618
born,corn,cc-1,born-cc-1.wav,born,1.769
bow,cow,cc-2,bow-cc-2.wav,cow,1.662
box,docks,ic-1,box-ic-1.wav,box,1.92
brown,drown,ic-2,brown-ic-2.wav,drown,1.831
bugs,pugs,cc-1,bugs-cc-1.wav,bugs,1.766
buns,guns,cc-2,buns-cc-2.wav,guns,1.743
cap,gap,ic-1,cap-ic-1.wav,cap,1.83
car,bar,ic-2,car-ic-2.wav,bar,1.713
coats,goats,cc-1,coats-cc-1.wav,coats,1.92
cone,bone,cc-2,cone-cc-2.wav,bone,1.645
core,door,ic-1,core-ic-1.wav,core,1.841
cot,pot,ic-2,cot-ic-2.wav,pot,1.726
crow,pro,cc-1,crow-cc-1.wav,crow,1.796
cub,tub,cc-2,cub-cc-2.wav,tub,1.591
dashed,cashed,ic-1,dashed-ic-1.wav,dashed,2.121
dripped,tripped,ic-2,dripped-ic-2.wav,tripped,1.872
drying,crying,cc-1,drying-cc-1.wav,drying,1.831
ducks,pucks,cc-2,ducks-cc-2.wav,pucks,1.909
dyed,tied,ic-1,dyed-ic-1.wav,dyed,1.956
ghost,post,ic-2,ghost-ic-2.wav,post,1.955
goal,pole,cc-1,goal-cc-1.wav,goal,1.637
grim,prim,cc-2,grim-cc-2.wav,prim,1.805
grip,drip,ic-1,grip-ic-1.wav,grip,1.911
keg,peg,ic-2,keg-ic-2.wav,peg,1.609
pail,tail,cc-1,pail-cc-1.wav,pail,1.551
pan,can,cc-2,pan-cc-2.wav,can,1.615
pane,cane,ic-1,pane-ic-1.wav,pane,1.812
papers,capers,ic-2,papers-ic-2.wav,capers,1.994
pay,day,cc-1,pay-cc-1.wav,pay,1.813
peak,beak,cc-2,peak-cc-2.wav,beak,1.826
pear,bear,ic-1,pear-ic-1.wav,pear,1.665
pie,tie,ic-2,pie-ic-2.wav,tie,1.686
pills,bills,cc-1,pills-cc-1.wav,pills,1.946
pit,kit,cc-2,pit-cc-2.wav,kit,1.785
plank,blank,ic-1,plank-ic-1.wav,plank,1.646
play,clay,ic-2,play-ic-2.wav,clay,1.737
tacks,backs,cc-1,tacks-cc-1.wav,tacks,1.826
tag,bag,cc-2,tag-cc-2.wav,bag,1.617
tarts,carts,ic-1,tarts-ic-1.wav,tarts,1.728
tasted,pasted,ic-2,tasted-ic-2.wav,pasted,1.775
tick,pick,cc-1,tick-cc-1.wav,tick,1.786
toes,bows,cc-2,toes-cc-2.wav,bows,1.929
ton,pun,ic-1,ton-ic-1.wav,ton,1.612
top,cop,ic-2,top-ic-2.wav,cop,1.693
tricks,bricks,cc-1,tricks-cc-1.wav,tricks,1.877
ball,call,ic-1,ball-ic-1.wav,ball,1.492
bark,park,ic-2,bark-ic-2.wav,park,1.766
base,case,cc-1,base-cc-1.wav,base,1.727
bass,gas,cc-2,bass-cc-2.wav,gas,2.129
bath,path,ic-1,bath-ic-1.wav,bath,1.656
bats,cats,ic-2,bats-ic-2.wav,cats,1.754
beach,peach,cc-1,beach-cc-1.wav,beach,1.783
bees,peas,cc-2,bees-cc-2.wav,peas,1.965
bins,pins,ic-1,bins-ic-1.wav,bins,1.981
birth,girth,ic-2,birth-ic-2.wav,girth,2.179
book,cook,cc-1,book-cc-1.wav,book,1.561
born,corn,cc-2,born-cc-2.wav,corn,1.855
bow,cow,ic-1,bow-ic-1.wav,bow,1.593
box,docks,ic-2,box-ic-2.wav,docks,2.041
brown,drown,cc-1,brown-cc-1.wav,brown,1.796
bugs,pugs,cc-2,bugs-cc-2.wav,pugs,1.713
buns,guns,ic-1,buns-ic-1.wav,buns,1.738
cap,gap,ic-2,cap-ic-2.wav,gap,1.608
car,bar,cc-1,car-cc-1.wav,car,1.807
coats,goats,cc-2,coats-cc-2.wav,goats,1.802
cone,bone,ic-1,cone-ic-1.wav,cone,1.701
core,door,ic-2,core-ic-2.wav,door,1.697
cot,pot,cc-1,cot-cc-1.wav,cot,1.715
crow,pro,cc-2,crow-cc-2.wav,pro,2.012
cub,tub,ic-1,cub-ic-1.wav,cub,1.66
dashed,cashed,ic-2,dashed-ic-2.wav,cashed,1.927
dripped,tripped,cc-1,dripped-cc-1.wav,dripped,1.827
drying,crying,cc-2,drying-cc-2.wav,crying,1.922
ducks,pucks,ic-1,ducks-ic-1.wav,ducks,1.923
dyed,tied,ic-2,dyed-ic-2.wav,tied,1.824
ghost,post,cc-1,ghost-cc-1.wav,ghost,1.897
goal,pole,cc-2,goal-cc-2.wav,pole,1.514
grim,prim,ic-1,grim-ic-1.wav,grim,1.887
grip,drip,ic-2,grip-ic-2.wav,drip,1.655
keg,peg,cc-1,keg-cc-1.wav,keg,1.576
pail,tail,cc-2,pail-cc-2.wav,tail,1.686
pan,can,ic-1,pan-ic-1.wav,pan,1.661
pane,cane,ic-2,pane-ic-2.wav,cane,1.706
papers,capers,cc-1,papers-cc-1.wav,papers,1.915
pay,day,cc-2,pay-cc-2.wav,day,1.467
peak,beak,ic-1,peak-ic-1.wav,peak,1.979
pear,bear,ic-2,pear-ic-2.wav,bear,1.632
pie,tie,cc-1,pie-cc-1.wav,pie,1.615
pills,bills,cc-2,pills-cc-2.wav,bills,2.25
pit,kit,ic-1,pit-ic-1.wav,pit,1.87
plank,blank,ic-2,plank-ic-2.wav,blank,1.803
play,clay,cc-1,play-cc-1.wav,play,1.664
tacks,backs,cc-2,tacks-cc-2.wav,backs,1.977
tag,bag,ic-1,tag-ic-1.wav,tag,1.601
tarts,carts,ic-2,tarts-ic-2.wav,carts,2.061
tasted,pasted,cc-1,tasted-cc-1.wav,tasted,1.813
tick,pick,cc-2,tick-cc-2.wav,pick,1.743
toes,bows,ic-1,toes-ic-1.wav,toes,1.973
ton,pun,ic-2,ton-ic-2.wav,pun,1.508
top,cop,cc-1,top-cc-1.wav,top,1.804
tricks,bricks,cc-2,tricks-cc-2.wav,bricks,1.928
ball,call,ic-2,ball-ic-2.wav,call,1.758
bark,park,cc-1,bark-cc-1.wav,bark,1.732
base,case,cc-2,base-cc-2.wav,case,2.043
bass,gas,ic-1,bass-ic-1.wav,bass,2.057
bath,path,ic-2,bath-ic-2.wav,path,2
bats,cats,cc-1,bats-cc-1.wav,bats,1.71
beach,peach,cc-2,beach-cc-2.wav,peach,1.872
bees,peas,ic-1,bees-ic-1.wav,bees,1.97
bins,pins,ic-2,bins-ic-2.wav,pins,1.952
birth,girth,cc-1,birth-cc-1.wav,birth,2.032
book,cook,cc-2,book-cc-2.wav,cook,1.687
born,corn,ic-1,born-ic-1.wav,born,1.906
bow,cow,ic-2,bow-ic-2.wav,cow,1.604
box,docks,cc-1,box-cc-1.wav,box,2.109
brown,drown,cc-2,brown-cc-2.wav,drown,1.918
bugs,pugs,ic-1,bugs-ic-1.wav,bugs,1.712
buns,guns,ic-2,buns-ic-2.wav,guns,1.819
cap,gap,cc-1,cap-cc-1.wav,cap,1.678
car,bar,cc-2,car-cc-2.wav,bar,1.611
coats,goats,ic-1,coats-ic-1.wav,coats,1.782
cone,bone,ic-2,cone-ic-2.wav,bone,1.621
core,door,cc-1,core-cc-1.wav,core,1.777
cot,pot,cc-2,cot-cc-2.wav,pot,1.567
crow,pro,ic-1,crow-ic-1.wav,crow,2.015
cub,tub,ic-2,cub-ic-2.wav,tub,1.561
dashed,cashed,cc-1,dashed-cc-1.wav,dashed,1.964
dripped,tripped,cc-2,dripped-cc-2.wav,tripped,1.93
drying,crying,ic-1,drying-ic-1.wav,drying,1.941
ducks,pucks,ic-2,ducks-ic-2.wav,pucks,1.84
dyed,tied,cc-1,dyed-cc-1.wav,dyed,1.795
ghost,post,cc-2,ghost-cc-2.wav,post,1.958
goal,pole,ic-1,goal-ic-1.wav,goal,1.47
grim,prim,ic-2,grim-ic-2.wav,prim,1.796
grip,drip,cc-1,grip-cc-1.wav,grip,1.801
keg,peg,cc-2,keg-cc-2.wav,peg,1.59
pail,tail,ic-1,pail-ic-1.wav,pail,1.65
pan,can,ic-2,pan-ic-2.wav,can,1.871
pane,cane,cc-1,pane-cc-1.wav,pane,1.634
papers,capers,cc-2,papers-cc-2.wav,capers,2.041
pay,day,ic-1,pay-ic-1.wav,pay,1.493
peak,beak,ic-2,peak-ic-2.wav,beak,1.502
pear,bear,cc-1,pear-cc-1.wav,pear,1.729
pie,tie,cc-2,pie-cc-2.wav,tie,1.582
pills,bills,ic-1,pills-ic-1.wav,pills,2.183
pit,kit,ic-2,pit-ic-2.wav,kit,1.56
plank,blank,cc-1,plank-cc-1.wav,plank,1.77
play,clay,cc-2,play-cc-2.wav,clay,1.854
tacks,backs,ic-1,tacks-ic-1.wav,tacks,1.903
tag,bag,ic-2,tag-ic-2.wav,bag,1.618
tarts,carts,cc-1,tarts-cc-1.wav,tarts,2.087
tasted,pasted,cc-2,tasted-cc-2.wav,pasted,2.036
tick,pick,ic-1,tick-ic-1.wav,tick,1.771
toes,bows,ic-2,toes-ic-2.wav,bows,1.839
ton,pun,cc-1,ton-cc-1.wav,ton,1.487
top,cop,cc-2,top-cc-2.wav,cop,1.685
tricks,bricks,ic-1,tricks-ic-1.wav,tricks,1.939